Epoch,T Loss,Val Acc
1,1.599307,0.826389
2,0.306434,0.957395
3,0.138585,0.962838
4,0.080787,0.963964
5,0.055727,0.986299
6,0.034542,0.983483
7,0.030827,0.985173
8,0.028619,0.977853
9,0.028211,0.984797
10,0.020035,0.988176
