Epoch,T Loss,Val Acc
1,1.403211,0.89771
2,0.218343,0.965465
3,0.103286,0.967718
4,0.059017,0.977102
5,0.038172,0.977102
6,0.039564,0.98536
7,0.019238,0.984797
8,0.02991,0.982733
9,0.031136,0.976727
10,0.011972,0.987425
