Epoch,T Loss,Val Acc
1,1.992865,0.755255
2,0.463438,0.884572
3,0.199456,0.950075
4,0.11572,0.961899
5,0.081508,0.964152
6,0.058598,0.977665
7,0.03898,0.976164
8,0.035952,0.976164
9,0.031724,0.98705
10,0.031845,0.97485
