Epoch,T Loss,Val Acc
1,2.147263,0.703453
2,0.640393,0.850788
3,0.305959,0.936562
4,0.190365,0.945571
5,0.130186,0.963213
6,0.097502,0.967718
7,0.078421,0.972785
8,0.059084,0.970721
9,0.046051,0.973724
10,0.052245,0.970908
