Epoch,T Loss,Val Acc
1,1.97091,0.720533
2,0.565206,0.884009
3,0.25551,0.945758
4,0.150589,0.961899
5,0.102043,0.964902
6,0.074078,0.97973
7,0.053881,0.972598
8,0.041939,0.980668
9,0.041147,0.979167
10,0.031233,0.980856
