Epoch,T Loss,Val Acc
1,2.210645,0.6997
2,0.589576,0.865428
3,0.278073,0.942005
4,0.155852,0.965653
5,0.102392,0.963589
6,0.081739,0.974287
7,0.057084,0.976164
8,0.045296,0.98461
9,0.040331,0.97973
10,0.028689,0.977665
