Epoch,T Loss,Val Acc
1,1.839522,0.780218
2,0.459874,0.913664
3,0.232215,0.931306
4,0.136498,0.956081
5,0.09826,0.965465
6,0.076883,0.963401
7,0.055436,0.970533
8,0.044177,0.979917
9,0.041232,0.976727
10,0.032377,0.982357
