Epoch,T Loss,Val Acc
1,1.593934,0.862425
2,0.300119,0.942568
3,0.139927,0.963026
4,0.084271,0.972785
5,0.056133,0.973348
6,0.03801,0.971847
7,0.031056,0.976914
8,0.035386,0.981419
