Epoch,T Loss,Val Acc
1,1.691423,0.842905
2,0.346248,0.929429
3,0.145639,0.942005
4,0.094427,0.959647
5,0.063452,0.957207
6,0.043362,0.971284
7,0.036886,0.96265
8,0.028213,0.98705
9,0.0374,0.966779
10,0.033567,0.98292
