Epoch,T Loss,Val Acc
1,1.396903,0.884947
2,0.211466,0.96021
3,0.099856,0.974474
4,0.052853,0.978041
5,0.044931,0.975788
6,0.033875,0.980293
7,0.036555,0.978416
8,0.024719,0.984422
9,0.017183,0.988739
10,0.020328,0.980105
