Epoch,T Loss,Val Acc
1,1.650932,0.835961
2,0.328459,0.947072
3,0.141438,0.963964
4,0.087304,0.977477
5,0.055526,0.981607
6,0.041876,0.970721
7,0.038687,0.974099
8,0.027043,0.986862
9,0.021826,0.98461
10,0.013824,0.985173
