Epoch,T Loss,Val Acc
1,2.609458,0.430368
2,1.325456,0.694632
3,0.772063,0.780405
4,0.493088,0.858296
5,0.339859,0.911599
6,0.260977,0.920045
7,0.23628,0.934497
8,0.192733,0.938814
9,0.167103,0.946697
10,0.148453,0.935811
