Epoch,T Loss,Val Acc
1,1.62702,0.860173
2,0.326533,0.933934
3,0.151369,0.95533
4,0.093525,0.972598
5,0.070285,0.975038
6,0.046085,0.97973
7,0.032861,0.981231
8,0.034548,0.983296
9,0.025744,0.983108
10,0.025081,0.97973
