Epoch,T Loss,Val Acc
1,1.658071,0.823198
2,0.330999,0.939377
3,0.150489,0.964715
4,0.092446,0.972973
5,0.066471,0.978228
6,0.039712,0.958521
7,0.035522,0.981419
8,0.032033,0.981794
9,0.022335,0.973724
10,0.027629,0.981982
